janela,rodada,cliente_id,selecionado,falhou,tempo_execucao,tamanho_lote,mse_treino,mse_teste
1,1,0,0,0,0.0,0,0.0,0.0
1,1,1,1,1,0.0,0,0.0,0.0
1,1,2,1,0,0.000179,80,0.0,0.0
1,1,3,1,0,0.000103,80,0.0,0.0
1,1,4,0,0,0.0,0,0.0,0.0
1,1,5,0,0,0.0,0,0.0,0.0
1,1,6,1,0,0.000108,80,0.0,0.0
1,1,7,1,0,9.4e-05,80,0.0,0.0
1,1,8,1,1,0.0,0,0.0,0.0
1,1,9,0,0,0.0,0,0.0,0.0
1,1,1,1,0,0.0,0,83.538789,0.0
1,1,2,1,0,0.0,0,83.425974,0.0
1,1,3,1,0,0.0,0,68.406137,0.0
1,1,6,1,0,0.0,0,136.82497,0.0
1,1,7,1,0,0.0,0,101.480321,0.0
1,1,8,1,0,0.0,0,85.000223,0.0
1,2,0,1,0,0.0001,80,0.0,0.0
1,2,1,0,0,0.0,0,0.0,0.0
1,2,2,1,0,0.000104,80,0.0,0.0
1,2,3,1,1,0.0,0,0.0,0.0
1,2,4,0,0,0.0,0,0.0,0.0
1,2,5,1,0,9.7e-05,80,0.0,0.0
1,2,6,0,0,0.0,0,0.0,0.0
1,2,7,1,0,9.6e-05,80,0.0,0.0
1,2,8,0,0,0.0,0,0.0,0.0
1,2,9,1,0,9.6e-05,80,0.0,0.0
1,2,0,1,0,0.0,0,67.850097,0.0
1,2,2,1,0,0.0,0,60.916243,0.0
1,2,3,1,0,0.0,0,54.58552,0.0
1,2,5,1,0,0.0,0,62.868902,0.0
1,2,7,1,0,0.0,0,63.903156,0.0
1,2,9,1,0,0.0,0,40.89181,0.0
1,3,0,1,0,0.000103,80,0.0,0.0
1,3,1,0,0,0.0,0,0.0,0.0
1,3,2,1,1,0.0,0,0.0,0.0
1,3,3,1,0,9.6e-05,80,0.0,0.0
1,3,4,0,0,0.0,0,0.0,0.0
1,3,5,1,0,9.6e-05,80,0.0,0.0
1,3,6,0,0,0.0,0,0.0,0.0
1,3,7,1,0,0.000101,80,0.0,0.0
1,3,8,1,0,0.0001,80,0.0,0.0
1,3,9,0,0,0.0,0,0.0,0.0
1,3,0,1,0,0.0,0,51.12662,0.0
1,3,2,1,0,0.0,0,46.424467,0.0
1,3,3,1,0,0.0,0,44.105546,0.0
1,3,5,1,0,0.0,0,49.654797,0.0
1,3,7,1,0,0.0,0,44.041305,0.0
1,3,8,1,0,0.0,0,50.759897,0.0
1,4,0,1,1,0.0,0,0.0,0.0
1,4,1,1,0,0.000105,80,0.0,0.0
1,4,2,1,0,0.000104,80,0.0,0.0
1,4,3,1,0,9e-05,80,0.0,0.0
1,4,4,0,0,0.0,0,0.0,0.0
1,4,5,1,0,9.6e-05,80,0.0,0.0
1,4,6,1,0,8.9e-05,80,0.0,0.0
1,4,7,0,0,0.0,0,0.0,0.0
1,4,8,0,0,0.0,0,0.0,0.0
1,4,9,0,0,0.0,0,0.0,0.0
1,4,0,1,0,0.0,0,39.12298,0.0
1,4,1,1,0,0.0,0,34.222375,0.0
1,4,2,1,0,0.0,0,35.533409,0.0
1,4,3,1,0,0.0,0,34.794153,0.0
1,4,5,1,0,0.0,0,39.597243,0.0
1,4,6,1,0,0.0,0,63.003818,0.0
1,5,0,1,0,9.3e-05,80,0.0,0.0
1,5,1,0,0,0.0,0,0.0,0.0
1,5,2,1,0,9.1e-05,80,0.0,0.0
1,5,3,1,0,9e-05,80,0.0,0.0
1,5,4,0,0,0.0,0,0.0,0.0
1,5,5,1,0,9e-05,80,0.0,0.0
1,5,6,0,0,0.0,0,0.0,0.0
1,5,7,0,0,0.0,0,0.0,0.0
1,5,8,1,0,9.5e-05,80,0.0,0.0
1,5,9,1,0,9e-05,80,0.0,0.0
1,5,0,1,0,0.0,0,31.331686,0.0
1,5,2,1,0,0.0,0,28.206736,0.0
1,5,3,1,0,0.0,0,27.371714,0.0
1,5,5,1,0,0.0,0,32.152851,0.0
1,5,8,1,0,0.0,0,32.377229,0.0
1,5,9,1,0,0.0,0,16.428182,0.0
1,6,0,1,0,0.000103,80,0.0,0.0
1,6,1,0,0,0.0,0,0.0,0.0
1,6,2,1,0,0.000102,80,0.0,0.0
1,6,3,1,0,0.000101,80,0.0,0.0
1,6,4,1,0,0.000107,80,0.0,0.0
1,6,5,0,0,0.0,0,0.0,0.0
1,6,6,1,0,0.000101,80,0.0,0.0
1,6,7,1,0,9.4e-05,80,0.0,0.0
1,6,8,0,0,0.0,0,0.0,0.0
1,6,9,0,0,0.0,0,0.0,0.0
1,6,0,1,0,0.0,0,23.968031,0.0
1,6,2,1,0,0.0,0,21.765224,0.0
1,6,3,1,0,0.0,0,22.455157,0.0
1,6,4,1,0,0.0,0,24.987008,0.0
1,6,6,1,0,0.0,0,42.099596,0.0
1,6,7,1,0,0.0,0,16.922668,0.0
1,7,0,1,0,9.3e-05,80,0.0,0.0
1,7,1,1,0,9.5e-05,80,0.0,0.0
1,7,2,1,0,9e-05,80,0.0,0.0
1,7,3,1,0,9e-05,80,0.0,0.0
1,7,4,0,0,0.0,0,0.0,0.0
1,7,5,0,0,0.0,0,0.0,0.0
1,7,6,1,1,0.0,0,0.0,0.0
1,7,7,0,0,0.0,0,0.0,0.0
1,7,8,0,0,0.0,0,0.0,0.0
1,7,9,1,0,9e-05,80,0.0,0.0
1,7,0,1,0,0.0,0,19.589277,0.0
1,7,1,1,0,0.0,0,16.40635,0.0
1,7,2,1,0,0.0,0,17.661948,0.0
1,7,3,1,0,0.0,0,17.764973,0.0
1,7,6,1,0,0.0,0,36.294015,0.0
1,7,9,1,0,0.0,0,9.109258,0.0
1,8,0,0,0,0.0,0,0.0,0.0
1,8,1,0,0,0.0,0,0.0,0.0
1,8,2,1,0,9.8e-05,80,0.0,0.0
1,8,3,1,0,9.1e-05,80,0.0,0.0
1,8,4,1,1,0.0,0,0.0,0.0
1,8,5,1,0,9e-05,80,0.0,0.0
1,8,6,1,0,9.5e-05,80,0.0,0.0
1,8,7,1,0,9.3e-05,80,0.0,0.0
1,8,8,0,0,0.0,0,0.0,0.0
1,8,9,0,0,0.0,0,0.0,0.0
1,8,2,1,0,0.0,0,13.935821,0.0
1,8,3,1,0,0.0,0,14.923229,0.0
1,8,4,1,0,0.0,0,16.953522,0.0
1,8,5,1,0,0.0,0,19.219332,0.0
1,8,6,1,0,0.0,0,29.736154,0.0
1,8,7,1,0,0.0,0,9.754695,0.0
1,9,0,1,0,0.000101,80,0.0,0.0
1,9,1,1,0,0.000109,80,0.0,0.0
1,9,2,0,0,0.0,0,0.0,0.0
1,9,3,0,0,0.0,0,0.0,0.0
1,9,4,0,0,0.0,0,0.0,0.0
1,9,5,0,0,0.0,0,0.0,0.0
1,9,6,1,0,9.5e-05,80,0.0,0.0
1,9,7,1,0,9e-05,80,0.0,0.0
1,9,8,1,0,9e-05,80,0.0,0.0
1,9,9,1,0,8.9e-05,80,0.0,0.0
1,9,0,1,0,0.0,0,12.615692,0.0
1,9,1,1,0,0.0,0,10.540937,0.0
1,9,6,1,0,0.0,0,24.589838,0.0
1,9,7,1,0,0.0,0,6.889324,0.0
1,9,8,1,0,0.0,0,15.363767,0.0
1,9,9,1,0,0.0,0,5.730394,0.0
1,10,0,0,0,0.0,0,0.0,0.0
1,10,1,1,1,0.0,0,0.0,0.0
1,10,2,1,0,9.4e-05,80,0.0,0.0
1,10,3,1,0,9e-05,80,0.0,0.0
1,10,4,0,0,0.0,0,0.0,0.0
1,10,5,0,0,0.0,0,0.0,0.0
1,10,6,1,0,9.2e-05,80,0.0,0.0
1,10,7,0,0,0.0,0,0.0,0.0
1,10,8,1,0,9e-05,80,0.0,0.0
1,10,9,1,1,0.0,0,0.0,0.0
1,10,1,1,0,0.0,0,8.232274,0.0
1,10,2,1,0,0.0,0,9.517126,0.0
1,10,3,1,0,0.0,0,9.557062,0.0
1,10,6,1,0,0.0,0,20.973869,0.0
1,10,8,1,0,0.0,0,12.154921,0.0
1,10,9,1,0,0.0,0,4.158634,0.0
2,1,0,1,1,0.0,0,0.0,0.0
2,1,1,1,1,0.0,0,0.0,0.0
2,1,2,1,1,0.0,0,0.0,0.0
2,1,3,0,0,0.0,0,0.0,0.0
2,1,4,1,0,9.3e-05,80,0.0,0.0
2,1,5,0,0,0.0,0,0.0,0.0
2,1,6,0,0,0.0,0,0.0,0.0
2,1,7,1,0,9.1e-05,80,0.0,0.0
2,1,8,1,0,9e-05,80,0.0,0.0
2,1,9,0,0,0.0,0,0.0,0.0
2,1,0,1,0,0.0,0,9.250007,0.0
2,1,1,1,0,0.0,0,8.480278,0.0
2,1,2,1,0,0.0,0,8.799567,0.0
2,1,4,1,0,0.0,0,10.28541,0.0
2,1,7,1,0,0.0,0,3.649162,0.0
2,1,8,1,0,0.0,0,11.270213,0.0
2,2,0,1,0,9.4e-05,80,0.0,0.0
2,2,1,1,0,9e-05,80,0.0,0.0
2,2,2,0,0,0.0,0,0.0,0.0
2,2,3,1,0,9.2e-05,80,0.0,0.0
2,2,4,0,0,0.0,0,0.0,0.0
2,2,5,0,0,0.0,0,0.0,0.0
2,2,6,1,0,9.1e-05,80,0.0,0.0
2,2,7,1,1,0.0,0,0.0,0.0
2,2,8,0,0,0.0,0,0.0,0.0
2,2,9,1,1,0.0,0,0.0,0.0
2,2,0,1,0,0.0,0,7.175485,0.0
2,2,1,1,0,0.0,0,6.563125,0.0
2,2,3,1,0,0.0,0,5.081162,0.0
2,2,6,1,0,0.0,0,15.91127,0.0
2,2,7,1,0,0.0,0,3.166171,0.0
2,2,9,1,0,0.0,0,4.095772,0.0
2,3,0,0,0,0.0,0,0.0,0.0
2,3,1,1,0,9.7e-05,80,0.0,0.0
2,3,2,0,0,0.0,0,0.0,0.0
2,3,3,1,0,8.8e-05,80,0.0,0.0
