algoritmo,semente,cliente_id,grupo,mse_global,mse_personalizado
fedavg,1,0,baixa_heterog,2.074045657288001,1.3030305317963082
fedavg,1,1,baixa_heterog,3.1579275764670727,1.6735262762847487
fedavg,1,2,baixa_heterog,3.8811192877073353,1.297053723283498
fedavg,1,3,baixa_heterog,7.38611432615751,1.4716456611255753
fedavg,1,4,baixa_heterog,1.471086062686825,1.4188923328336809
fedavg,1,5,baixa_heterog,4.068755139552286,1.7884212452275834
fedavg,1,6,alta_heterog,4.616977746789883,1.5155932601658118
fedavg,1,7,alta_heterog,8.200837718188119,2.9235878064244907
fedavg,1,8,alta_heterog,11.767132542650504,4.463416324574064
fedavg,1,9,alta_heterog,11.471874080969357,1.5615031757788886
fedavg,2,0,baixa_heterog,9.388391469215945,2.6365026060837122
fedavg,2,1,baixa_heterog,7.6196215508083585,2.401306959416643
fedavg,2,2,baixa_heterog,8.233909371954836,2.288022138054598
fedavg,2,3,baixa_heterog,11.810254509568972,3.309452209067794
fedavg,2,4,baixa_heterog,14.068056045549767,2.3628083592295073
fedavg,2,5,baixa_heterog,6.748543668991968,3.2630851502736893
fedavg,2,6,alta_heterog,10.8712041857417,4.404235515662272
fedavg,2,7,alta_heterog,11.983117910677331,3.8384731326954844
fedavg,2,8,alta_heterog,6.4199919563374435,2.382265462786957
fedavg,2,9,alta_heterog,2.314042399317168,1.5911482496148146
fedavg,3,0,baixa_heterog,1.5534826695355697,1.4558021037976678
fedavg,3,1,baixa_heterog,2.3811037685046417,1.5673992449164198
fedavg,3,2,baixa_heterog,2.483344135117782,1.637519300828169
fedavg,3,3,baixa_heterog,2.529436368118337,1.5430536597984716
fedavg,3,4,baixa_heterog,1.3754935305805578,0.9356171965845234
fedavg,3,5,baixa_heterog,7.182301099938868,1.3582821619690892
fedavg,3,6,alta_heterog,1.7556204136366338,1.4293124734975133
fedavg,3,7,alta_heterog,1.8086405669702217,1.6374696080041387
fedavg,3,8,alta_heterog,2.1439747921824237,1.7737097697043591
fedavg,3,9,alta_heterog,1.9351108391485212,1.493676351655313
fedavg,4,0,baixa_heterog,4.627306825497098,1.8350236128360196
fedavg,4,1,baixa_heterog,4.973507983614114,1.4352482472695696
fedavg,4,2,baixa_heterog,4.2962664031261895,2.0945630189408933
fedavg,4,3,baixa_heterog,4.330926979378633,1.83085030588826
fedavg,4,4,baixa_heterog,6.489344815054799,1.6254251079630186
fedavg,4,5,baixa_heterog,4.61443112209568,1.7047874874033924
fedavg,4,6,alta_heterog,11.478100496521119,2.5961076295253593
fedavg,4,7,alta_heterog,8.601300828980435,3.223395973299975
fedavg,4,8,alta_heterog,6.314003039016693,2.487380988583404
fedavg,4,9,alta_heterog,17.19205716094006,2.884053259530501
fedavg,5,0,baixa_heterog,9.207728127380093,3.018941090826397
fedavg,5,1,baixa_heterog,11.334284072223099,2.340995477177956
fedavg,5,2,baixa_heterog,7.314314113809247,2.236676525241311
fedavg,5,3,baixa_heterog,11.349860750082513,1.7262068160559967
fedavg,5,4,baixa_heterog,12.395619584802956,3.3155578740234546
fedavg,5,5,baixa_heterog,25.661007133704008,5.897492479118497
fedavg,5,6,alta_heterog,15.489983978674838,4.035034572916562
fedavg,5,7,alta_heterog,9.504870947340908,2.0622597699782625
fedavg,5,8,alta_heterog,12.568854769041641,3.951704065694025
fedavg,5,9,alta_heterog,1.4660014356528748,1.397732662150876
fedavg,6,0,baixa_heterog,1.7885258991828796,1.6033245410694577
fedavg,6,1,baixa_heterog,1.662092766044394,1.4493449207415705
fedavg,6,2,baixa_heterog,1.3008166522706266,1.3180915433289746
fedavg,6,3,baixa_heterog,1.6787811474065777,1.281059977582736
fedavg,6,4,baixa_heterog,1.9755809875077273,1.2234446998506268
fedavg,6,5,baixa_heterog,6.87897477301432,1.9090482415794114
fedavg,6,6,alta_heterog,4.09900032063213,1.5260237246488002
fedavg,6,7,alta_heterog,2.0211618548376773,1.7836269037925987
fedavg,6,8,alta_heterog,2.390445380292701,1.387736165023383
fedavg,6,9,alta_heterog,1.9674920342981503,1.3966929501429415
fedavg,7,0,baixa_heterog,3.7513578289058462,1.125154334267072
fedavg,7,1,baixa_heterog,3.0441958592749803,1.3316755821372728
fedavg,7,2,baixa_heterog,2.326131669145184,1.5038104104487942
fedavg,7,3,baixa_heterog,5.903311874500001,1.2025592230738922
fedavg,7,4,baixa_heterog,1.999358638274879,1.5392311994649626
fedavg,7,5,baixa_heterog,6.962422622354125,1.5350594404356142
fedavg,7,6,alta_heterog,2.0085279873327258,1.5112299032028749
fedavg,7,7,alta_heterog,2.9257522951813906,1.7324229263554918
fedavg,7,8,alta_heterog,13.113758468677448,3.8845980807885097
fedavg,7,9,alta_heterog,13.343678746923892,4.444413052344054
fedavg,8,0,baixa_heterog,2.2203331870165255,1.7374360154271544
fedavg,8,1,baixa_heterog,2.0987374742533955,1.6120053994673877
fedavg,8,2,baixa_heterog,1.7914580768784285,1.461251699830301
fedavg,8,3,baixa_heterog,2.895847403467078,1.6606792574254148
fedavg,8,4,baixa_heterog,2.762097840039617,1.5857988473799514
fedavg,8,5,baixa_heterog,4.178703100392498,1.833641245925453
fedavg,8,6,alta_heterog,1.3454344826249756,1.0362147585556465
fedavg,8,7,alta_heterog,3.23550287728999,1.233456010960614
fedavg,8,8,alta_heterog,4.1502736562255045,1.6495425776101573
fedavg,8,9,alta_heterog,2.9019066342257416,1.4004481845678298
fedprox (mu=0.01),1,0,baixa_heterog,2.07393661768228,1.3030541145451606
fedprox (mu=0.01),1,1,baixa_heterog,3.1579611343302223,1.6735762614817062
fedprox (mu=0.01),1,2,baixa_heterog,3.881172953213824,1.2970901013706446
fedprox (mu=0.01),1,3,baixa_heterog,7.386090198189871,1.4716976934972403
fedprox (mu=0.01),1,4,baixa_heterog,1.471040495819101,1.4188706691700392
fedprox (mu=0.01),1,5,baixa_heterog,4.068662446424671,1.7884519262521685
fedprox (mu=0.01),1,6,alta_heterog,4.617302446356016,1.515661842015008
fedprox (mu=0.01),1,7,alta_heterog,8.201571334261399,2.92383447984582
fedprox (mu=0.01),1,8,alta_heterog,11.766262776596259,4.463110606204122
fedprox (mu=0.01),1,9,alta_heterog,11.471729054964644,1.5615623183439238
fedprox (mu=0.01),2,0,baixa_heterog,9.386176292650102,2.635913717368082
fedprox (mu=0.01),2,1,baixa_heterog,7.61764325286042,2.400823334503384
fedprox (mu=0.01),2,2,baixa_heterog,8.232462648649433,2.287556427701588
fedprox (mu=0.01),2,3,baixa_heterog,11.80771216391916,3.3087336550349784
fedprox (mu=0.01),2,4,baixa_heterog,14.066026183145702,2.3623586696834966
fedprox (mu=0.01),2,5,baixa_heterog,6.746322780569947,3.2624289963076065
fedprox (mu=0.01),2,6,alta_heterog,10.868823599736077,4.403345306527385
fedprox (mu=0.01),2,7,alta_heterog,11.980122535423417,3.837641667306981
fedprox (mu=0.01),2,8,alta_heterog,6.417852489350134,2.381612372194449
fedprox (mu=0.01),2,9,alta_heterog,2.3149469085452177,1.5913788749787565
fedprox (mu=0.01),3,0,baixa_heterog,1.553444121015818,1.4557960724947732
fedprox (mu=0.01),3,1,baixa_heterog,2.3810025686250254,1.567368117982875
fedprox (mu=0.01),3,2,baixa_heterog,2.4831934984406723,1.6374908274804219
fedprox (mu=0.01),3,3,baixa_heterog,2.5294293506124057,1.5430261477199412
fedprox (mu=0.01),3,4,baixa_heterog,1.3754778719294742,0.9356067415769985
fedprox (mu=0.01),3,5,baixa_heterog,7.182418082071495,1.3582874140179142
fedprox (mu=0.01),3,6,alta_heterog,1.755528695995105,1.429296198524032
fedprox (mu=0.01),3,7,alta_heterog,1.808558341557101,1.6374599774353793
fedprox (mu=0.01),3,8,alta_heterog,2.1440775260425697,1.7737435348094484
fedprox (mu=0.01),3,9,alta_heterog,1.9349903479689623,1.4936521456102037
fedprox (mu=0.01),4,0,baixa_heterog,4.625031567400549,1.835080555396113
fedprox (mu=0.01),4,1,baixa_heterog,4.9707647646376,1.435345705997944
fedprox (mu=0.01),4,2,baixa_heterog,4.294622667235719,2.0946882931043693
fedprox (mu=0.01),4,3,baixa_heterog,4.329783203155663,1.8309098931886023
fedprox (mu=0.01),4,4,baixa_heterog,6.487170309338769,1.6254455335786364
fedprox (mu=0.01),4,5,baixa_heterog,4.612022254184568,1.7048475430476941
fedprox (mu=0.01),4,6,alta_heterog,11.474175525593228,2.5962621947845284
fedprox (mu=0.01),4,7,alta_heterog,8.604110319293165,3.223653451782076
fedprox (mu=0.01),4,8,alta_heterog,6.312078222583588,2.487196146648048
fedprox (mu=0.01),4,9,alta_heterog,17.185474899128756,2.883822427387235
fedprox (mu=0.01),5,0,baixa_heterog,9.206185666701304,3.018414789932691
fedprox (mu=0.01),5,1,baixa_heterog,11.332677043194213,2.340646615349055
fedprox (mu=0.01),5,2,baixa_heterog,7.312775078567663,2.2361658838517107
fedprox (mu=0.01),5,3,baixa_heterog,11.349213833528742,1.7259232740435073
fedprox (mu=0.01),5,4,baixa_heterog,12.394205323414639,3.315012193088104
fedprox (mu=0.01),5,5,baixa_heterog,25.65773989188143,5.896548182011474
fedprox (mu=0.01),5,6,alta_heterog,15.487957126495177,4.034348562785679
fedprox (mu=0.01),5,7,alta_heterog,9.503594106170906,2.0619396076271297
fedprox (mu=0.01),5,8,alta_heterog,12.566163796190553,3.9509706502493085
fedprox (mu=0.01),5,9,alta_heterog,1.4659891047686349,1.3976982734990968
